EP012025,              ALVIN,     23,
20250609, 1200,  , TS, 14.4N, 113.0W,  55,  994,   50,   50,   40,   50,   20,   20,    0,   20,    0,    0,    0,    0,   15,
20250609, 1800,  , TS, 14.8N, 113.8W,  60,  992,   50,   50,   40,   50,   20,   20,   10,   20,    0,    0,    0,    0,   15,
20250610, 0000,  , TS, 15.0N, 114.1W,  60,  992,   50,   50,   40,   50,   20,   20,   10,   20,    0,    0,    0,    0,   15,
20250610, 0600,  , TS, 15.2N, 114.5W,  60,  993,   40,   40,   40,   40,    0,   20,   20,    0,    0,    0,    0,    0,   15,
20250610, 1200,  , TS, 15.4N, 114.8W,  55,  996,   40,   40,   40,   40,    0,   20,   20,    0,    0,    0,    0,    0,   20,
20250610, 1800,  , TS, 15.6N, 115.1W,  50,  999,   30,   40,   50,   40,    0,   20,   20,    0,    0,    0,    0,    0,   20,
20250611, 0000,  , TS, 15.8N, 115.0W,  40, 1005,   20,   40,   50,   30,    0,    0,    0,    0,    0,    0,    0,    0,   20,
20250611, 0600,  , TS, 16.0N, 114.7W,  40, 1006,    0,   40,   50,    0,    0,    0,    0,    0,    0,    0,    0,    0,   25,
20250611, 1200,  , LO, 16.2N, 113.9W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   25,
EP042025,             DALILA,     23,
20250610, 1200,  , DB,  9.1N,  94.6W,  15, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250610, 1800,  , DB,  9.1N,  95.0W,  15, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250611, 0000,  , DB,  9.1N,  95.5W,  15, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250611, 0600,  , DB,  9.1N,  96.0W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250611, 1200,  , DB,  9.3N,  96.7W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  150,
20250611, 1800,  , DB,  9.6N,  97.6W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  150,
20250612, 0000,  , DB, 10.1N,  98.3W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  150,
20250612, 0600,  , DB, 10.7N,  99.0W,  20, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  150,
20250612, 1200,  , LO, 11.0N,  99.5W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  150,
20250612, 1800,  , LO, 11.1N, 100.1W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  150,
20250613, 0000,  , LO, 11.5N, 100.5W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  120,
20250613, 0600,  , LO, 12.3N, 100.6W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  120,
20250613, 1200,  , TD, 13.5N, 101.3W,  30, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,  120,
20250613, 1800,  , TS, 14.2N, 101.8W,  35, 1001,  270,  180,    0,  120,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250614, 0000,  , TS, 14.9N, 102.5W,  40, 1001,  270,  180,    0,  120,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250614, 0600,  , TS, 15.6N, 103.3W,  45,  999,  220,  120,   60,  120,    0,    0,    0,    0,    0,    0,    0,    0,   60,
20250614, 1200,  , TS, 16.2N, 103.8W,  50,  996,  200,  120,   60,  120,   30,   20,   10,   30,    0,    0,    0,    0,   30,
20250614, 1800,  , TS, 16.7N, 104.5W,  55,  993,  130,   90,  120,   90,   40,   40,    0,    0,    0,    0,    0,    0,   35,
20250615, 0000,  , TS, 17.6N, 105.4W,  55,  993,  120,   80,  100,   90,   50,   50,   40,   40,    0,    0,    0,    0,   25,
20250615, 0600,  , TS, 17.9N, 106.7W,  55,  993,   90,   60,   80,   70,   40,   40,    0,   40,    0,    0,    0,    0,   25,
20250615, 1200,  , TS, 18.1N, 107.4W,  50,  996,   80,   50,   70,   60,   30,   30,    0,   30,    0,    0,    0,    0,   30,
20250615, 1800,  , TS, 18.3N, 108.0W,  40, 1002,   80,   50,   70,   60,    0,    0,    0,    0,    0,    0,    0,    0,   30,
20250616, 0000,  , LO, 18.5N, 108.8W,  35, 1004,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0,   30,
EP052025,              ERICK,     25,
20250614, 0000,  , DB,  9.0N,  84.4W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250614, 0600,  , DB,  9.0N,  85.1W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250614, 1200,  , DB,  9.1N,  85.8W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250614, 1800,  , DB,  9.2N,  86.5W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250615, 0000,  , DB,  9.3N,  87.2W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250615, 0600,  , DB,  9.4N,  87.6W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250615, 1200,  , DB,  9.4N,  87.9W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
